event_date;event;source
05/02/2020;On 5 February 2020, an Israeli reconnaissance plane fired a missile at a site belonging to the Al-Qassam Brigades (armed wing of Hamas), in the city of Khan Yunis in the southern Gaza Strip. Later warplanes returned and fired 4 additional missiles. No injuries were reported.;Al Ghad (Jordan)
06/02/2020;On 6 February 2020, a drive-by shooting by a Palestinian assailant lightly injured an Israeli soldier near the settlement of Dolev (Ramallah and Al Bireh, West Bank). The assailant fled the scene immediately following the attack.;"Times of Israel; Xinhua; Ynet"
07/02/2020;On 7 February 2020, Israeli forces opened fire at a Hamas soldier near Jabalya and severely injured him.;Jerusalem Post
08/02/2020;On 8 February 2020, Israeli tanks shelled two Hamas positions in the northern Gaza Strip in retaliation to a projectile fired at Israel earlier. No injuries were reported.;AFP
09/02/2020;On 9 February 2020, a missile was fired from the Gaza Strip into Israel and triggered sirens in Sderot. The Shaar Hanegev Regional Council reported that the rocket landed in an open field.;"Al Ghad (Jordan); Arab News; Xinhua"
10/02/2020;On 10 February 2020, Israeli warplanes bombed Palestinian resistance sites in the Gaza Strip, in retaliation to rockets and incendiary balloons fired at Israel. Warplanes bombed the new port belonging to the al Qassam Brigades (military wing of Hamas) west of Khan Yunis with at least one missile and incurred damage. No injuries were reported.;"Al Ghad (Jordan); Al Nour"
11/02/2020;On 11 February 2020, a rocket was launched from the Gaza Strip towards southern Israel, landing in the area of Shaar Hanegev (Ashqelon, HaDarom). The rocket exploded but did not cause any damage.;"Arutz Sheva; GLZ"
12/02/2020;On 12 February 2020, booby trapped balloons launched from Gaza exploded mid-air over Ashqelon (Ashqelon, HaDarom). There were no casualties.;Quds News Network
13/02/2020;On 13 February 2020, an incendiary balloon that was launched from the Gaza Strip into Israel exploded over the Sdot Negev Community. No injuries of damage were reported.;Times of Israel
14/02/2020;On 14 February 2020, several booby-trapped balloons launched from Gaza landed in Netivot (Beer Sheva, HaDarom). There were no casualties.;Quds News Network
15/02/2020;On 15 February 2020, an unidentified Palestinian group clashed with Fatah militants after they opened fire at their headquarters in Balata Camp (Nablus, West Bank), presumably to target the Fatah committee elections. 1 militant was injured.;Quds News Network
16/02/2020;On 16 February 2020, an unidentified Palestinian group launched anti-aircraft missiles at Israeli warplanes flying over Rafah (Rafah, Gaza Strip). There were no casualties.;Quds News Network
17/02/2020;On 17 February 2020, an armed Palestinian attempted to stab an Israeli soldier at the Cave of Patriarchs in Hebron city (West Bank) before being subdued and arrested. No Israeli soldiers were injured in the attack.;"Kan News; Ma'ariv"
18/02/2020;On 18 February 2020, an unidentified Palestinian group clashed with Palestinian forces in Qabatiyah (Jenin, West Bank) as they were dispersing a reception ceremony for an ex-detainee. 3 Palestinians were injured during the clashes. One of them succumbed to their wounds later.;Quds News Network
19/02/2020;Overnight between February 18 and 19, clashes broke out between Palestinian forces and armed residents in the village of Qabatiya. During a celebration for the release of a resident from Israeli prison, locals wanted to fire into the air but were prevented by Palestinian security forces and clashes erupted. 2 residents and 1 Palestinian Officer were injured and a 17 year old who was shot in the chest, died of his wounds.;"AFP; AP"
20/02/2020;On 20 February 2020, a Palestinian was shot and wounded by Israeli forces when he allegedly sped up while driving his car towards a newly set-up checkpoint in the village of Baytin in Ramallah. Israeli media reported it to have been a possible ramming attack. No soldiers were injured.;Times of Israel
21/02/2020;On 21 February 2020, an armed Palestinian attempted to stab an Israeli civilian in Al Quds - East Talpiyyot (Al Quds, West Bank). A bystander prevented the attack and subdued the assailant until police showed up.;"Israel Hayom; Ynet"
22/02/2020;On 22 February 2020, Israeli Border Police shot dead a Palestinian who allegedly ran towards them with a knife, and did not respond to their calls to stop, at the Bab al Absat (Lion's gate) in Al Quds - Old City (Al Quds, West Bank). A nearby woman was injured by shrapnel and hospitalized.;"Al Ghad (Jordan); AP; Ynet"
23/02/2020;On 23 February 2020, approximately 30 rockets and mortar shells were fired by the PIJ at Israel from the Gaza Strip. In Ashqelon a piece of shrapnel from an intercepted rocket damaged a car and sirens were heard in the City. The attack came after a PIJ member was shot and killed by Israeli soldiers.;Times of Israel
24/02/2020;On 24 February 2020, approximately 50 rockets and mortar shells were fired by the PIJ at Israel from the Gaza Strip. A mortar fell inside a town in the Eshkol Regional Council and caused some damages. No injuries were reported. The attack came after a PIJ member was shot and killed by Israeli soldiers on Sunday.;Times of Israel
26/02/2020;On 26 February 2020, an unidentified Palestinian group opened fire at a Palestinian ex-detainee and activist, and his son, near the Nablus municipality building in Nablus (Nablus, West Bank), hitting him directly and injuring him. Palestinian security forces went after the attackers, and arrested all but one of them.;Quds News Network
28/02/2020;On the night from February 27 to February 28, dozens of Israeli Settlers stormed the Palestinian village of Huwwarah and slashed the tyres of 20 vehicles. Settlers opened fire at Palestinian homes and shops in the town. Israeli forces in turn, opened fire at Palestinians who tried to fend off Settlers. No injuries were reported.;"Arab 48; Palestine News and Information Agency"
01/03/2020;On 1 March 2020, an unidentified Palestinian group from Gaza launched a missile towards nearby Israeli towns. Coded to Beersheba (Beer Sheva, HaDarom). There were no casualties.;Quds News Network
03/03/2020;On 3 March 2020, Israeli forces opened fire at positions of unidentified armed Palestinians north of Bayt Lahya (North Gaza). There were no casualties.;PLO Negotiations Affairs Department
06/03/2020;On 6 March 2020, an unidentified Palestinian group from Gaza launched a missile that landed near the border fence of Gaza (Gaza City, Gaza Strip). There were no injuries.;Quds News Network
08/03/2020;On 8 March 2020, Israeli forces opened fire at positions of unidentified armed Palestinians east of Mukhayyam al Magazi (Deir El Balah). There were no casualties.;PLO Negotiations Affairs Department
09/03/2020;On 9 March 2020, Israeli settlers opened fire randomly at Palestinians in At Tirah (Ramallah and Al Bireh). Israeli forces also fired rubber-coated metal bullets, stun grenades, and tear gas canisters at Palestinians who tried to confront [presumably verbally] the settlers. There were no fatalities.;PLO Negotiations Affairs Department
10/03/2020;On 10 March 2020, three armed Israeli Settlers approached a Palestinian family in their car in Turmus Ayya, north of Ramallah and beat them with their riffle butts and smashed the car. One of the Palestinians pushed a Settler, and then they were threatened by gunfire. Settlers then started breaking the car windows and tried to take two of the Palestinian children in the car with them.;Arab 48
11/03/2020;On 11 March 2020, Israeli forces opened fire at positions of unidentified armed Palestinians east of Bayt Hanun (North Gaza). There were no casualties.;PLO Negotiations Affairs Department
13/03/2020;On 13 March 2020, an unidentified Palestinian group opened fire at an Israeli settler vehicle near Ramallah (Ramallah and Al Bireh, West Bank) hitting their vehicle with 12 bullets. No casualties occurred.;Quds News Network
15/03/2020;On 15 March 2020, when more than 25 Israeli Settlers stormed the town of Huwwara, south of Nablus and damaged vehicles, they also randomly opened fire on Palestinian residents, and shepherds, whose sheep they attempted to steal. No injuries were reported. The attack came 4 days after an Israeli was injured by Palestinian rock-throwing in the area.;Asharq Al Awsat
23/03/2020;On 23 March 2020, two Palestinian farmers were assaulted by rock throwing from a group of 18 armed Israeli Settlers in the village of Burqa north of Nablus. Settlers then punctured the tyres of the Palestinians' vehicle, and smashed it's windows.;Times of Israel
25/03/2020;On 25 March 2020, Israeli settlers from Maon settlement attacked Palestinian farmers and opened fire at them near At Tuwani (Hebron). There were no casualties.;PLO Negotiations Affairs Department
27/03/2020;On 27 March 2020, Israeli forces launched an artillery attack at unidentified armed Palestinians east of Bayt Hanun (North Gaza). There were no fatalities.;PLO Negotiations Affairs Department
28/03/2020;On 28 March 2020, the head of the Nasariyya Village Council was shot and killed by unidentified gunmen in the village of an Nassariya in the Nablus Governorate late Saturday night.;Arab 48
30/03/2020;On 30 March 2020, an unidentified Palestinian group opened fire at Israeli military forces that raided Al Quds - Shuafat Camp (Al Quds, West Bank). No casualties occurred.;Quds News Network
31/03/2020;On 31 March 2020, an Israeli settler randomly opened fire at Palestinians in the Mofia area near Al Hadidiyah (Tubas) while driving his vehicle in the area. There were no fatalities.;PLO Negotiations Affairs Department
01/04/2020;On 1 April 2020, police forces physically assaulted two Arab Israelis in Jaffa after they broke the emergency laws the government imposed on citizens to curb the spread of the coronavirus epidemic. No injuries were reported.;Arab 48
02/04/2020;On 2 April 2020, Palestinian preventive security forces, accompanied by family members of a Palestinian military officer, opened fire at shops in Bayt Liqya (Ramallah and Al Bireh, West Bank) after a group assaulted a Palestinian military officer. They also randomly assaulted pedestrians.;Quds News Network
03/04/2020;On 3 April 2020, Israeli forces opened fire at unidentified armed Palestinians east of Mukhayyam al Magazi (Deir El Balah). There were no casualties.;PLO Negotiations Affairs Department
04/04/2020;On 4 April 2020, unknown gunmen shot at the building of the 'Front' (Jebah/Hadash) in the town of Sakhnin as members were in the process of preparing food parcels for those in need during the coronavirus outbreak. No injuries were reported.;Al Ittihad
07/04/2020;On 7 April 2020, a group of 10 armed Israeli Settlers from the Halamish Settlement beat a Palestinian farmer and his two sons while they were ploughing lands in the village of Kobar. Settlers then kidnapped the two sons.;Arab 48
08/04/2020;On 8 April 2020, unknown gunmen opened fire at Palestinian security forces, in Nablus city. No casualties reported by source.;"Liveuamap; Twitter"
11/04/2020;Around 11 April 2020 (as reported), the health condition of a Palestinian prisoner in the Israeli Ramon in Mitzpe Ramon detention centre is deteriorating as a result of the physically abusive investigations he underwent in the prison. It was reported that he suffers from severe headaches, hearing loss and has yet to be transferred for treatment.;Arab 48
13/04/2020;On 13 April 2020, a man of Arab ethnicity armed with a wire cutter and a knife, entered an Israeli military base in Mishmar Hanegev, near the city of Rahat. As he entered the base, he was instructed to stop, but he continued and attacked the soldiers before he escaped. Two soldiers were lightly wounded.;"Arutz Sheva; Jerusalem Post"
14/04/2020;On 14 April 2020, Israeli forces opened fire at positions of unidentified armed Palestinians east of Dayr al Balah (Deir El Balah). There were no casualties.;PLO Negotiations Affairs Department
18/04/2020;On 18 April 2020, Israeli settlers opened fire randomly at 2 Palestinians in Pesagot settlement (Ramallah and Al Bireh). There were no fatalities.;PLO Negotiations Affairs Department
19/04/2020;On 19 April 2020, Israeli forces opened fire at positions of unidentified armed Palestinians east of Dayr al Balah (Deir El Balah). There were no casualties.;PLO Negotiations Affairs Department
22/04/2020;On 22 April 2020, a Palestinian was killed after he stabbed a border police officer at the Kiosk checkpoint near the Al Quds - Maale Adumim Settlement near Jerusalem. It was reported that the Palestinian in a car ramming attack hit the officer, then stabbed him and was shot by nearby guards. The Palestinian was also in possession of a pipe bomb.;"Al Ghad (Jordan); Times of Israel"
23/04/2020;On 23 April 2020, Israeli settlers opened fire randomly near the emergency checkpoint at the entrance of Kisan village (Bethlehem). There were no fatalities.;PLO Negotiations Affairs Department
24/04/2020;On 24 April 2020, an unidentified Palestinian ran over a Palestinian national guard officer near the Orthodox Club in Bayt Jala (Bethlehem, West Bank). The reason was not mentioned. Palestinian forces arrested the attacker.;Quds News Network
27/04/2020;Around 27 April 2020, Israeli residents of Lod reported that several incendiary balloons and dozens of fireworks have been launched from the Gaza Strip into Israel since the start of Ramadan. The incendiary balloons reportedly landed in three locations, one of which was near the Ben Gurion Airport. No injuries or damages were reported.;Arutz Sheva
28/04/2020;On 28 April 2020, an Israeli woman was stabbed and lightly injured by a Palestinian assailant outside of Mall G in the town of Kfar Saba (Petah Tiqwa, HaMerkaz). The attacker [from Tulkarm] was shot and moderately wounded by an armed bystander at the scene of the attack. The motivation for the stabbing is unknown.;"Jerusalem Post; Ynet"
29/04/2020;On 29 April 2020, a Palestinian in his car sped up before a checkpoint in Umm al Rehan and crashed into a post. The Palestinian reportedly stated that he attempted to 'carry out an attack and wanted to die' after he was arrested. No injuries were reported. A reason for the attack is unknown.;Jerusalem Post
30/04/2020;On 30 April 2020, Israeli military forces shelled a Hamas military post, in Shujaayah neighbourhood of Gaza city. No casualties reported by source.;"Liveuamap; Twitter"
02/05/2020;On 2 May 2020, Palestinian police forces attacked a Palestinian journalist during a press brief in front of the Palestinian prime minister's office in Ramallah (Ramallah and Al Bireh, West Bank).;Quds News Network
06/05/2020;On 6 May 2020, Israeli artillery shelled a monitoring site belonging to an unidentified Palestinian armed group south of Al Burayj refugee camp (Deir El Balah, Gaza Strip). No injuries were reported.;Quds News Network
07/05/2020;On 7 May 2020, an Israeli settler assaulted and unleashed his dog at a Palestinian bus driver near Pisgat Zeev (Al Quds, West Bank). As a result the bus driver was seriously injured.;PCHR: Palestinian Centre for Human Rights
12/05/2020;On 12 May 2020, Israeli forces shot, injured and then detained a Palestinian at the Qalandia checkpoint between Jerusalem and Ramallah under the pretext that it was attempting to carry out a stabbing attack against a Police officer at the checkpoint. Israeli forces then closed the checkpoint. Israeli medics said the Palestinian was wounded in the foot, but other reports described his injuries as serious. No other injuries were reported.;"Al Nour; Arab 48"
14/05/2020;On 14 May 2020, Israeli forces shot dead 1 Palestinian at the entrance to the Negohot Settlement near Fuqeiqis south of Hebron, after he carried out a car-ramming attack that moderately injured an Israeli soldier. Later that day, Israeli forces opened fire at 1 Palestinian vehicle near the north entrance of Bayt Ummar (Hebron) and killed its driver claiming that he had run over an Israeli soldier. The event likely occurred in two locations.;"Al Ghad (Jordan); PLO Negotiations Affairs Department"
15/05/2020;On 15 May 2020, Palestinian forces physically assaulted a Palestinian journalist while he was with his sister and her husband, after being stopped by a patrol car in Anabta (Tulkarm, West Bank), under the pretext that there were 10 individuals in the vehicle. Police forces arrested the journalist and took him to the Tulkarm precinct.;Quds News Network
17/05/2020;On 17 May 2020, Israeli soldiers shot and injured a Lebanese citizen who had crossed the border into Israel illegally.;AFP
18/05/2020;On 18 May 2020, Israeli settlers stabbed with a knife a Palestinian child in Al Quds - Old City (Al Quds) and left him hospitalized.;PLO Negotiations Affairs Department
19/05/2020;On 19 May 2020, an Israeli settler attacked and injured a Palestinian civilian with a knife on Jaffa street in Jerusalem city (Jerusalem).;Ma'an News Agency
20/05/2020;On 20 May 2020, a Palestinian attempted to fire at a car carrying Israeli Settlers near the town of Huwwarah, but the trigger was jammed and he did not fire his weapon. The Israeli driver then chased him off and fired shots into the air. The Palestinian was later identified as a Palestinian Police officer. No one was injured.;Times of Israel
23/05/2020;On 23 May 2020, Israeli settlers armed with steel bars assaulted two Palestinians in Al Sahlat area in the old city of Hebron (coded to Hebron - Bab az Zawiyah) and left them hospitalized with contusions.;PLO Negotiations Affairs Department
24/05/2020;On 24 May 2020, Israeli Settlers from the Yitzhar Settlement opened fire at a Park in the village of Huwwarah and attempted to vandalize it, but were warded off by Palestinian residents. There are no reports of clashes.;Palestine News and Information Agency
25/05/2020;On 25 May 2020, a Palestinian was shot and severely injured in the neighborhood of Al Quds - East Talpiyyot (Al Quds, West Bank) after he allegedly attempted to carry out a stabbing attack on Border Police officers. No officers were injured.;"Xinhua; Ynet"
29/05/2020;On 29 May 2020, a Palestinian was shot dead by Israeli forces after allegedly attempting to carry out a car ramming attack against Israeli soldiers near the village of An Nabi Salih northeast of Ramallah. No soldiers were injured. Eye witnesses have reported that soldiers opened fire on the vehicle being driven without knowing where it was headed;Al Ghad (Jordan)
30/05/2020;On 30 May 2020, Israeli military forces opened fire at a Palestinian riding a motorcycle near Bethlehem (West Bank) on suspicion that he was just running over a soldier and injuring him. The conditions of the Palestinian were not indicated in the source.;Ma'an News Agency
01/06/2020;On 1 June 2020, two Israeli settlers from the Suseya settlement attacked and beat a Palestinian at gunpoint near Yuta (Hebron, West Bank). Israeli police forces arrived at the scene and detained the Palestinian.;PCHR: Palestinian Centre for Human Rights
02/06/2020;On 2 June 2020, an Israeli settler driving his vehicle along the main road connecting Qalqilya and Nablus ran over a Palestinian child near Azzun town (Qalqilya) and left him hospitalized with contusions.;PLO Negotiations Affairs Department
04/06/2020;On 4 June 2020, a group of unknown armed men attacked an Arab Israeli youth with a sharp object in the city of Rishon LeZion, injuring him severely by causing a deep cut on his back, the report claimed that the attack was racially motivated, because he is an Arab.;Arab 48
07/06/2020;On 7 June 2020, unidentified armed men attacked the office of a workers union in Gaza city, injuring several civilians.;Palestine News and Information Agency
08/06/2020;On 8 June 2020, an Israeli settler attacked and injured a Palestinian young girl in Al Quds - Old City area of Jerusalem (West Bank).;Ma'an News Agency
14/06/2020;On 14 June 2020, Israeli settlers ran over a Palestinian near Al Quds - Maale Adumim (Al Quds) and left him hospitalized with contusions.;PLO Negotiations Affairs Department
15/06/2020;On 15 June 2020, an unidentified group fired a rocket from Gaza at Magan, the rocked landed in an open space and no injuries or damage was reported.;Arutz Sheva
16/06/2020;On 16 June 2020, Israeli air forces launched an airstrike targeting unidentified armed Palestinians southeast of Rafah City (Rafah). There were no casualties.;PLO Negotiations Affairs Department
22/06/2020;On 22 June 2020, an unidentified assailant threw a grenade at the home of a Palestinian Legislative Council member in Al Jamaa neighborhood in Hebron (Hebron, West Bank). No casualties occurred.;Quds News Network
23/06/2020;On 23 June 2020, Israeli soldiers shot and killed a Palestinian after he tried to hit a female soldiers with his car at a the 'Container' checkpoint in Al Quds - Abu Dis. His family claim that he was on his way to attend his sister's wedding and lost control of the vehicle.;"Al Jazeera; Arab 48"
26/06/2020;On 26 June 2020, a rocket fired from Gaza by an unknown group, exploded in Magen, no damage or injuries was done by the explosion.;Jerusalem Post
27/06/2020;On 27 June 2020, Israeli police forces arrested two armed Palestinian men after they refused to stop at the Qalandia checkpoint (Al Quds, West Bank). According to Israeli security forces, the two armed Palestinians refused to stop at the checkpoint and then lightly injured two Israeli security officers during the attempted arrest.;"Ma'an News Agency; Ynet"
28/06/2020;On 28 June 2020, Israeli settlers opened fire randomly at Palestinian farmers in Ain Harasha area in Al Mazraah al Qibliyah (Ramallah and Al Bireh) after the farmers removed a tent the settlers had installed on Palestinian agricultural land. There were no fatalities.;PLO Negotiations Affairs Department
02/07/2020;On 2 July 2020, Palestinian police forces attacked Palestinians taking part in a welcoming procession of a freed Palestinian detainee in Jenin (Jenin, West Bank). Palestinian forces also seized Hamas flags from the participants and arrested a Palestinian journalist.;Quds News Network
05/07/2020;On 5 July 2020, an airstrike by Israeli military forces hit a Hamas outpost in Az Zaytun area of Gaza city. Only material damage was done.;Ma'an News Agency
12/07/2020;On 12 July 2020, Israeli forces opened fire at positions of unidentified armed Palestinians in the east of Khuzaa (Khan Yunis). There were no casualties.;PLO Negotiations Affairs Department
14/07/2020;On 14 July 2020, an unidentified Palestinian group fired shots, from a passing vehicle, at an Israeli military point near Itamar settlement (Nablus, West Bank). No casualties occurred.;Quds News Network
15/07/2020;On 15 July 2020, an unidentified Palestinian group fired shots, from a passing vehicle, at an Israeli military point near Itamar settlement (Nablus, West Bank) for the second night in a row. No casualties occurred.;Quds News Network
17/07/2020;On 17 July 2020, unidentified Palestinian militant(s) threw pipe bombs at Israeli forces at the entrance of Azzun (Qalqilya, West Bank), twice on the same day. There were no casualties.;Quds News Network
20/07/2020;On 20 July 2020, Israeli settlers ran over an eight-year-old child near military checkpoint 160 in the Old City of Hebron (Hebron) and left him hospitalized with contusions.;PLO Negotiations Affairs Department
24/07/2020;On 24 July 2020, Israeli forces opened fire at positions of unidentified armed Palestinians in he east of Khuzaa (Khan Yunis). There were no casualties.;PLO Negotiations Affairs Department
25/07/2020;On 25 July 2020, a Palestinian policeman shot and killed the secretary of Fatah Movement in Balata refugee camp. The shooting started after a dispute over an open shop that should have been closed due to Coronavirus restrictions.;Arab 48
29/07/2020;On 29 July 2020, Israeli forces opened fire at positions of unidentified armed Palestinians in the east of Gaza - Az Zaytun (Gaza City). There were no casualties.;PLO Negotiations Affairs Department
30/07/2020;On 30 July 2020, Israeli forces opened fire at positions of unidentified armed Palestinians in Khan Yunis city (Khan Yunis). There were no casualties.;PLO Negotiations Affairs Department
02/08/2020;On 2 August 2020, unidentified armed Palestinians fired an unknown shell from their positions in the North Gaza district (coded to Jabalya) towards the Green Line. There were no fatalities.;PLO Negotiations Affairs Department
03/08/2020;On 3 August 2020, Israeli air forces launched two consecutive airstrikes with three missiles targeting unidentified armed Palestinians west of Khan Yunis city (Khan Yunis). There were no casualties.;PLO Negotiations Affairs Department
06/08/2020;On 6 August 2020, an airstrike by Israeli military forces hit a Hamas Movement outpost, causing only material damage, in Bayt Lahya.;Arab 48
08/08/2020;On 8 August 2020, an IED balloon, launched by an unknown group in Gaza, exploded in Netivot, there were no injuries as a result of the explosion.;"Liveuamap; Twitter"
09/08/2020;On 9 August 2020, Israeli aircrafts fired one missile targeting unidentified armed Palestinians located north of Bayt Lahya (North Gaza). There were no casualties.;"Palestine News and Information Agency; PLO Negotiations Affairs Department"
10/08/2020;On 10 August 2020, an unidentified Palestinian group fired incendiary balloons from Gaza that landed in Erez (Ashqelon, HaDarom), causing a fire in open lands.;Quds News Network
11/08/2020;On 11 August 2020, an airstrike by Israeli military forces hit Hamas positions in Bayt Lahya, in retaliation to an increase in IED balloon attacks on Israel. There were no casualties as a result.;Palestine News and Information Agency
12/08/2020;On 12 August 2020, an airstrike by Israeli military forces hit Hamas positions in Gaza city, in retaliation to an increase in IED balloon attacks on Israel. There were no casualties as a result.;Palestine News and Information Agency
13/08/2020;On 13 August 2020, Israeli aircrafts launched an airstrike targeting unidentified armed Palestinians located northwest of Gaza city causing material damage to a UNRWA school and 20 nearby houses. There were no casualties.;PLO Negotiations Affairs Department
14/08/2020;On 14 August 2020, a drone strike by Israeli military forces hit Hamas positions in Gaza city, in retaliation to an increase in IED balloon attacks on Israel. There were no casualties as a result.;Arab 48
15/08/2020;On 15 August 2020, an Israeli settler ran over and killed a Palestinian civilian near the Jabara checkpoint south of Tulkarm (Tulkarm, West Bank).;Quds News Network
16/08/2020;On 16 August 2020, an airstrike by Israeli military forces hit a Hamas position, in Khan Yunis, causing only material damage.;Palestine News and Information Agency
17/08/2020;On 17 August 2020, shelling by Israeli military forces hit a Hamas position, in Khan Yunis, causing only material damage.;Palestine News and Information Agency
18/08/2020;On 18 August 2020, an unidentified Palestinian group fired a rocket at Ziqim, the rocket landed in an open area, and no injuries nor damages were done.;Jerusalem Post
19/08/2020;On 19 August 2020, a fire broke out, in Beeri, as a result of an incendiary balloon fired from Gaza by an unknown group.;"Liveuamap; Twitter"
20/08/2020;On 20 August 2020, shelling by Israeli military forces hit a Hamas position east of Al Qararah village (Khan Yunis) causing only material damage.;"Palestine News and Information Agency; PLO Negotiations Affairs Department"
21/08/2020;On 21 August 2020, an airstrike by Israeli military forces hit Hamas positions, in Khan Yunis, resulting in material damages only.;Ma'an News Agency
22/08/2020;On 22 August 2020, Israeli forces undertook an artillery attack against Hamas positions east of Khuzaa (Khan Yunis). There were no fatalities.;"Palestine News and Information Agency; PLO Negotiations Affairs Department"
23/08/2020;On 23 August 2020, Israeli forces opened fire at positions of unidentified armed Palestinians north of Bayt Hanun (North Gaza). There were no casualties.;PLO Negotiations Affairs Department
24/08/2020;On 24 August 2020, an airstrike by Israeli military forces hit a Hamas position, in Karam Abu Maamar of Rafah district, causing only material damage.;Palestine News and Information Agency
25/08/2020;On 25 August 2020, shelling by Israeli military forces hit a Hamas position, in Al Fukhari village, causing only material damage as a result.;Arab 48
26/08/2020;On 26 August 2020, an unidentified armed Palestinian, who has a work permit in Israel, stabbed a Haredi rabbi in Petah Tikva city (Petah Tiqwa, HaMerkaz) and killed him. Israeli police forces arrested the Palestinian.;Kikar HaShabbat
27/08/2020;On 27 August 2020, snipers belonging to Hezbollah shot at an Israeli military post, in Menara, there were no casualties.;N12
28/08/2020;On 28 August 2020, an airstrike by Israeli military forces hit a Hamas position, in Gaza city, resulting in material damages only.;Palestine News and Information Agency
30/08/2020;On 30 August 2020, shelling by Israeli military forces hit a Hamas post, causing only materiel damage, in Al Fukhari.;Arab 48
02/09/2020;On 2 September 2020, a Palestinian rammed a car into a checkpoint, injuring 2 soldiers in Zatarah (Salfit, West Bank). Israeli military forces then shot and injured the Palestinian as he got out of the car and approached soldiers with a knife.;"Arab 48; Israel Hayom; Ynet"
05/09/2020;On 5 September 2020, an unidentified Palestinian group opened fire at Israeli forces in Jenin - Jenin Camp (Jenin, West Bank). No casualties occurred.;Quds News Network
